Seed,Slug,Year,URL,Description,,,,,,
,E-Trade Baby,2008,https://www.youtube.com/watch?v=tsijvpYivVc,,1,Budlight Here We Go,,,1,Darth Volkswagon
,Budweiser Frogs,1995,https://www.youtube.com/watch?v=ZOXAkJmQUk0,,4,Pepsi Cheating Heart,,,4,E-Trade Baby
,Terry Tate Office Linebacker,2003,https://www.youtube.com/watch?v=_DOm_RiklE4,,,,,,,
,Darth Volkswagon,2011,https://www.youtube.com/watch?v=1n6hf3adNqk,,2,Terry Tate,,,2,Jordan vs Bird
,Jordan vs Bird,1993,https://www.youtube.com/watch?v=_oACRt-Qp-s,,3,Mean Joe Green,,,3,Where's the Beef?
,Budlight Here We Go,2012,https://www.youtube.com/watch?v=G_07nPqaR7M,,,,,,,
,Radioshack 80s,2014,https://www.youtube.com/watch?v=aUCHy5y23nI,,,,,,,
,Mean Joe Green,1980,https://www.youtube.com/watch?v=xffOCZYX6F8,Originally aired in 1979,1,Budweiser Frogs,,,1,Pepsi Cindy Crawford
,Apple,1984,https://www.youtube.com/watch?v=2zfqw8nhUwA,,4,Old Spice Guy,,,4,Budweiser Whassup
,Pepsi Cheating Heart,1996,https://www.youtube.com/watch?v=TnXArm-NViI,,,,,,,
,Where's the Beef?,1984,https://www.youtube.com/watch?v=Ug75diEyiA0,,2,Snickers Betty White,,,2,Radioshack 80s
,Snickers Betty White,2010,https://www.youtube.com/watch?v=VLy4qzV1gL0,,3,Doritos Time Machine,,,3,Apple
,Old Spice Guy,2010,https://www.youtube.com/watch?v=owGykVbfgUE,,,,,,,
,Budweiser Whassup,1999,https://www.youtube.com/watch?v=ZhlZoq3niIY,,,,,,,
,Pepsi Cindy Crawford,1992,https://www.youtube.com/watch?v=pKN77NjWXxg&feature=youtu.be,,,,,,,
,Doritos Time Machine,2014,https://www.youtube.com/watch?v=Y-P0Hs0ADJY,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Other that didn't quite make the cut,,,,,,,,,
,Coke Pepsi Diner,,https://www.youtube.com/watch?v=qy4_XKYo0rQ,,,,,,,
,Tabasco Mosquito,,https://www.youtube.com/watch?v=zZnDRrwcbTE,,,,,,,
,Hare Jordan,,https://www.youtube.com/watch?v=2QeG-noRMPs,,,,,,,
,Doritos Ali Landry,,https://www.youtube.com/watch?v=nSfH9NpHIno,,,,,,,
,Bridgestone Screaming Squirel,,https://www.youtube.com/watch?v=BnfwPCXFeug,,,,,,,
,Seinfeld Reunion,,https://www.youtube.com/watch?v=AFg65_r89EU,,,,,,,
,Budweiser Best Buds,,https://www.youtube.com/watch?v=dlNO2trC-mk,,,,,,,
